,country,beer,spirit,wine,liters,continent,volume
181,United Arab Emirates,16,135,5,3,AS,low
182,United Kingdom,219,126,195,10,EU,very large
183,Tanzania,36,6,1,6,AF,large
184,USA,249,158,84,9,,very large
185,Uruguay,115,35,220,7,SA,large
186,Uzbekistan,25,101,8,2,AS,low
187,Vanuatu,21,18,11,1,OC,low
188,Venezuela,333,100,3,8,SA,large
189,Vietnam,111,2,1,2,AS,low
190,Yemen,6,0,0,0,AS,low
191,Zambia,32,19,4,2,AF,low
192,Zimbabwe,64,18,4,5,AF,large
193,Mira test,1,1,1,1,1,Mira
